Fecha,Texto,Usuario,Localización,Longitud,Latitud
2020-06-06 14:07:44,"RT @DonghyuksLover: En chile te MATAN por ser indígena.

Soy mujer, tengo 23 años y soy atacameña reconocida por la comunidad de Toconao; h…",kiliva_keri,"Cuernavaca, Morelos",,
2020-06-06 14:07:45,"@Joseytrewq @el_interior Macri no paró de hacer cagdadas. Dale, en serio, decilo.

Inflacion 50%
Deuda externa
Defi… https://t.co/VuXtuOHXbb",ElOtro39179534,,,
2020-06-06 14:07:48,eu sou alérgica a gatos. a minha amiga tem uns 10 gatos. mal consigo abrir meu olho e não paro de espirrar.,garczareck_,🏳️‍🌈,,
2020-06-06 14:07:48,RT @nacionrockera: no te paro de extrañar.,MagneLuana1,"Gualeguaychú, Argentina",,
2020-06-06 14:07:49,"RT @DonghyuksLover: En chile te MATAN por ser indígena.

Soy mujer, tengo 23 años y soy atacameña reconocida por la comunidad de Toconao; h…",rusioelsucio,"Santiago, Chile",,
2020-06-06 14:07:51,@isalomu3 @jcamay26 Su-erte!,ElSenala,"Madrid, Comunidad de Madrid",,
2020-06-06 14:07:52,RT @DFinanciero: #DataDF Tasa de desempleo en Estados Unidos se aleja del 20% esperado https://t.co/H62oabnIvX https://t.co/g5JvjEBkaz,padel2102,"Santiago, Chile",,
2020-06-06 14:07:55,"RT @macagno_camila: #ErteSinCobrar Día 79, expediente sin tramitar y prestación sin cobrar. Ninguna respuesta por los canales habilitados d…",Lachicadel172,,,
2020-06-06 14:08:00,"RT @qtf: IMÁGENES de Reforma, Polanco, Embajada de EEUU ... me estruja el corazón. Aterrador ver las consecuencias de los discursos de odio…",CARLOSA01036710,,,
2020-06-06 14:08:02,"¡¡Ups..!! LEÍ EL FMI promueve...
El FMI proyecta un aumento del desempleo a nivel mundial para el 2020… https://t.co/b07ciVVJS4",ClickerJos,,,
2020-06-06 14:08:03,na onda q eu to eu não paro mais,lauanaov,,,
2020-06-06 14:08:04,RT @orue_s: El rollo de los políticos que al ver que se van aquedar sin mamandurria en la política y tienen que ir al paro. No saben vivir…,Stop_Proces,,,
